covariance_type,n_cov_params,bic,f1,precision,recall,auc_roc,train_time
full,7140,-13508014.667072682,0.8394573168346524,0.9295514349965167,0.7652843196980729,0.9576111675761083,34.18601989746094
spherical,12,1958061.7997381287,0.6268676300611496,0.8938051636475689,0.48270605191601906,0.8501767013871054,1.7160789966583252
diag,408,-8133309.96232499,0.5917217344522923,0.8846727070568475,0.44452236965275405,0.9203985062968194,3.828266143798828
tied,595,-784351.1233357093,0.5177641283784347,0.8661633589169822,0.36924265612695206,0.9314910729264481,6.315770149230957
