method,alpha,precision,recall,f1,auc,gmm_weight,lstm_weight,gmm_importance,lstm_importance
Weighted Average,0.9,0.5380985366698415,0.9972600704298599,0.6990212997747229,0.8617861098905804,,,,
Logistic Regression,,0.8997872939641883,0.9019665383872454,0.9008755982636442,0.9612854832782034,137.44571432361283,2.25898651047669,,
Random Forest,,0.9318295536489529,0.940829259594954,0.9363077810309645,0.9865772411757764,,,0.717236266619857,0.28276373338014305
