model,precision,recall,f1,auc
Baseline,0.5001635011846404,0.9999821696557257,0.6668080211397596,0.6475267488032499
Isolation Forest,0.75361473628733,0.5184142880492117,0.6142700197891505,0.8028554836779072
One-Class SVM,0.7683645083348314,0.7494034263978246,0.7587655294220302,0.8724226775660346
GMM,0.881554810903637,0.939715606008826,0.9097065495223752,0.9576111675761083
